geoid,name,PctBachHigher,MedHHIncome,PctTravel60MinMore
05000US01001,"Autauga County, AL",21.7,53773,3.8
05000US01003,"Baldwin County, AL",27.7,50706,8.4
05000US01005,"Barbour County, AL",14.5,31889,9.1
05000US01007,"Bibb County, AL",9.0,36824,8.9
05000US01009,"Blount County, AL",12.4,45192,15.6
05000US01011,"Bullock County, AL",11.9,34500,11.2
05000US01013,"Butler County, AL",12.9,30752,9.3
05000US01015,"Calhoun County, AL",16.0,40093,4.4
05000US01017,"Chambers County, AL",11.0,32181,6.4
05000US01019,"Cherokee County, AL",13.1,36241,9.4
05000US01021,"Chilton County, AL",12.5,40834,15.8
05000US01023,"Choctaw County, AL",11.9,35123,16.3
05000US01025,"Clarke County, AL",12.7,30954,10.6
05000US01027,"Clay County, AL",8.8,34556,13.7
05000US01029,"Cleburne County, AL",9.5,37244,10.5
05000US01031,"Coffee County, AL",22.6,44626,3.3
05000US01033,"Colbert County, AL",18.0,40158,7.7
05000US01035,"Conecuh County, AL",9.7,27064,8.4
05000US01037,"Coosa County, AL",9.7,37425,14.4
05000US01039,"Covington County, AL",13.8,35321,8.9
05000US01041,"Crenshaw County, AL",11.0,37309,15.6
05000US01043,"Cullman County, AL",14.2,39244,12.5
05000US01045,"Dale County, AL",17.5,45247,3.3
05000US01047,"Dallas County, AL",13.3,26178,9
05000US01049,"DeKalb County, AL",9.9,36853,5.9
05000US01051,"Elmore County, AL",21.1,55514,5.7
05000US01053,"Escambia County, AL",12.2,31075,8
05000US01055,"Etowah County, AL",15.2,37660,8.4
05000US01057,"Fayette County, AL",11.6,33090,13.5
05000US01059,"Franklin County, AL",12.2,37235,9
05000US01061,"Geneva County, AL",10.9,33618,6
05000US01063,"Greene County, AL",11.6,23777,8.6
05000US01065,"Hale County, AL",11.7,29409,9.8
05000US01067,"Henry County, AL",15.8,40680,7.3
05000US01069,"Houston County, AL",19.3,41828,3.1
05000US01071,"Jackson County, AL",13.2,37059,9.1
05000US01073,"Jefferson County, AL",29.3,45415,3.6
05000US01075,"Lamar County, AL",10.2,35271,7
05000US01077,"Lauderdale County, AL",21.9,40701,6.9
05000US01079,"Lawrence County, AL",13.0,39526,7.1
05000US01081,"Lee County, AL",31.3,43189,3.6
05000US01083,"Limestone County, AL",21.9,48197,5.3
05000US01085,"Lowndes County, AL",14.2,28023,8.6
05000US01087,"Macon County, AL",19.5,27957,4.3
05000US01089,"Madison County, AL",37.8,58242,2.3
05000US01091,"Marengo County, AL",17.7,34515,6.6
05000US01093,"Marion County, AL",8.7,31970,7.9
05000US01095,"Marshall County, AL",15.3,38649,8
05000US01097,"Mobile County, AL",20.3,42973,4.5
05000US01099,"Monroe County, AL",9.9,30996,9.4
05000US01101,"Montgomery County, AL",30.9,44401,2.6
05000US01103,"Morgan County, AL",19.5,45852,3.4
05000US01105,"Perry County, AL",11.0,31008,9.5
05000US01107,"Pickens County, AL",9.8,28762,13.6
05000US01109,"Pike County, AL",22.5,31702,6.6
05000US01111,"Randolph County, AL",11.9,35074,10.4
05000US01113,"Russell County, AL",14.7,33591,3.7
05000US01115,"St. Clair County, AL",14.9,49652,7.4
05000US01117,"Shelby County, AL",40.5,69379,8.7
05000US01119,"Sumter County, AL",15.3,22655,10.3
05000US01121,"Talladega County, AL",12.3,35209,8.8
05000US01123,"Tallapoosa County, AL",15.5,38611,7.5
05000US01125,"Tuscaloosa County, AL",26.6,43996,4.4
05000US01127,"Walker County, AL",10.3,37408,13.4
05000US01129,"Washington County, AL",9.5,42256,16.5
05000US01131,"Wilcox County, AL",11.1,24212,8.6
05000US01133,"Winston County, AL",11.7,32830,12.7
05000US02013,"Aleutians East Borough, AK",15.7,58125,0.1
05000US02016,"Aleutians West Census Area, AK",12.0,77292,0.1
05000US02020,"Anchorage Municipality, AK",32.8,76495,2.6
05000US02050,"Bethel Census Area, AK",11.6,52349,0.1
05000US02060,"Bristol Bay Borough, AK",19.8,79931,1.2
05000US02068,"Denali Borough, AK",25.6,74044,3.2
05000US02070,"Dillingham Census Area, AK",18.3,56857,0.2
05000US02090,"Fairbanks North Star Borough, AK",28.6,69485,2.6
05000US02100,"Haines Borough, AK",33.0,50208,4.7
05000US02105,"Hoonah-Angoon Census Area, AK",25.4,48942,0
05000US02110,"Juneau City and Borough, AK",35.9,78947,1.9
05000US02122,"Kenai Peninsula Borough, AK",23.5,59421,4
05000US02130,"Ketchikan Gateway Borough, AK",23.6,59736,1.2
05000US02150,"Kodiak Island Borough, AK",24.6,70976,1.5
05000US02164,"Lake and Peninsula Borough, AK",16.8,49808,1.2
05000US02170,"Matanuska-Susitna Borough, AK",21.2,70728,20.9
05000US02180,"Nome Census Area, AK",15.4,51472,0.2
05000US02185,"North Slope Borough, AK",17.9,76679,1.8
05000US02188,"Northwest Arctic Borough, AK",10.9,60870,0.8
05000US02195,"Petersburg Census Area, AK",25.2,61696,1.5
05000US02198,"Prince of Wales-Hyder Census Area, AK",16.0,45774,6.7
05000US02220,"Sitka City and Borough, AK",34.6,66895,3.9
05000US02230,"Skagway Municipality, AK",21.8,71583,0
05000US02240,"Southeast Fairbanks Census Area, AK",22.3,62712,1.7
05000US02261,"Valdez-Cordova Census Area, AK",23.6,67421,2.8
05000US02270,"Wade Hampton Census Area, AK",6.2,40608,0.2
05000US02275,"Wrangell City and Borough, AK",21.9,47348,3
05000US02282,"Yakutat City and Borough, AK",32.3,71705,0
05000US02290,"Yukon-Koyukuk Census Area, AK",9.2,35559,2
05000US04001,"Apache County, AZ",10.3,31615,14.7
05000US04003,"Cochise County, AZ",22.4,45505,4.7
05000US04005,"Coconino County, AZ",30.7,48320,6
05000US04007,"Gila County, AZ",15.6,38504,8.8
05000US04009,"Graham County, AZ",12.9,44421,9.2
05000US04011,"Greenlee County, AZ",12.4,49692,4.3
05000US04012,"La Paz County, AZ",10.0,35093,1.5
05000US04013,"Maricopa County, AZ",29.5,54385,5.8
05000US04015,"Mohave County, AZ",12.2,39383,5.1
05000US04017,"Navajo County, AZ",14.6,37683,9.6
05000US04019,"Pima County, AZ",29.4,46443,4.7
05000US04021,"Pinal County, AZ",18.3,50164,12.1
05000US04023,"Santa Cruz County, AZ",19.3,37692,7.1
05000US04025,"Yavapai County, AZ",24.4,43652,5.6
05000US04027,"Yuma County, AZ",14.2,41156,3.8
05000US05001,"Arkansas County, AR",13.0,39883,3.6
05000US05003,"Ashley County, AR",13.1,38069,6.4
05000US05005,"Baxter County, AR",15.5,35209,3
05000US05007,"Benton County, AR",28.1,53515,2.4
05000US05009,"Boone County, AR",15.4,38364,5.5
05000US05011,"Bradley County, AR",11.3,32321,7.8
05000US05013,"Calhoun County, AR",6.8,31425,7.6
05000US05015,"Carroll County, AR",16.5,35558,6
05000US05017,"Chicot County, AR",14.2,25188,5
05000US05019,"Clark County, AR",21.6,32393,6.9
05000US05021,"Clay County, AR",9.9,32695,6.3
05000US05023,"Cleburne County, AR",16.9,39410,9.7
05000US05025,"Cleveland County, AR",14.3,38060,7.3
05000US05027,"Columbia County, AR",19.1,34895,5.2
05000US05029,"Conway County, AR",14.4,32625,6
05000US05031,"Craighead County, AR",23.7,41054,4.1
